Deposit Name,Longitude,Latitude,Commodity Group,State,val
Grosvenor,147.99273,-21.87317,Coal,QLD,1
Gruyere,123.87800,-28.01060,"Precious metals - Au, Ag",WA,1
Gwalia,121.33400,-28.91850,"Precious metals - Au, Ag",WA,1
Hail Creek,148.40681,-21.50538,Coal,QLD,1
Hamlet,121.81220,-31.40010,"Precious metals - Au, Ag",WA,1
Haoma,121.91890,-31.01190,"Precious metals - Au, Ag",WA,1
Hellyer,145.72210,-41.57460,"Base metals - Cu (Zn, Pb, Ag, Au)",TAS,1
Hera,146.32590,-32.11070,"Base metals - Cu (Zn, Pb, Ag, Au)",NSW,1
Hermes,118.90980,-25.58450,"Precious metals - Au, Ag",WA,1
Hey Point,141.89000,-12.73300,Bauxite,QLD,1
Higginsville,121.73770,-31.73030,"Precious metals - Au, Ag",WA,1
Homestead,121.22830,-30.54210,"Precious metals - Au, Ag",WA,1
Hope Downs 1,119.11216,-22.94839,Iron ore,WA,1
Hope Downs 4,119.57880,-23.14587,Iron ore,WA,1
Hunter Valley Operations,150.99200,-32.51040,Coal,NSW,1
Huntly,116.16650,-32.55580,Bauxite,WA,1
Perth Basin,115.30180,-29.85581,Heavy mineral sands,WA,1
Integra ,151.13498,-32.46884,Coal,NSW,1
Iron Hill ,117.17536,-29.60332,Iron ore,WA,1
Iron Valley,119.31710,-22.72010,Iron ore,WA,1
Isaac Plains,148.10800,-21.99200,Coal,QLD,1
Jacinth-Ambrosia,132.22867,-30.86113,Heavy mineral sands,SA,1
Jaguar,121.17000,-28.48390,"Base metals - Cu (Zn, Pb, Ag, Au)",WA,1
Janet Ivy,121.38340,-30.77450,"Precious metals - Au, Ag",WA,1
Jaurdi,120.92500,-30.68871,"Precious metals - Au, Ag",WA,1
Jeebropilly,152.65936,-27.62302,Coal,QLD,1
Jellinbah ,148.95064,-23.40687,Coal,QLD,1
Jimblebar ,120.13906,-23.37926,Iron ore,WA,1
Jundee ,120.60410,-26.37250,"Precious metals - Au, Ag",WA,1
Kalgoorlie (Super Pit),121.50500,-30.77810,"Precious metals - Au, Ag",WA,1
Kanmantoo,139.00540,-35.09190,"Base metals - Cu (Zn, Pb, Ag, Au)",SA,1
Kanowna Belle,121.57610,-30.61010,"Precious metals - Au, Ag",WA,1
Kara,145.77201,-41.31000,Iron ore,TAS,1
Karara,116.80050,-29.16019,Iron ore,WA,1
Karari,122.35950,-30.15950,"Precious metals - Au, Ag",WA,1
Kestrel,148.37031,-23.24197,Coal,QLD,1
Keysbrook,115.93880,-32.46423,Heavy mineral sands,WA,1
King of the Hills ,121.16300,-28.67150,"Precious metals - Au, Ag",WA,1
Kings,117.52170,-22.17611,Iron ore,WA,1
Kogan Creek,150.77263,-26.89572,Coal,QLD,1
Koolan Island,123.74018,-16.12754,Iron ore,WA,1
Koolyanobbing,119.53800,-30.83360,Iron ore,WA,1
Kundana,121.22969,-30.71242,"Precious metals - Au, Ag",WA,1
Lady Annie,139.04402,-19.77305,"Base metals - Cu (Zn, Pb, Ag, Au)",QLD,1
Lady Loretta,139.07019,-19.76859,"Base metals - Zn, Pb (Cu, Ag)",QLD,1
Lake Vermont,148.43851,-22.39900,Coal,QLD,1
Liddell,150.99988,-32.39160,Coal,NSW,1
Lorena,140.64870,-20.71870,"Precious metals - Au, Ag",QLD,1
Loy Yang,146.56400,-38.23470,Coal,VIC,1
Maddingley,144.44016,-37.70429,Coal,VIC,1
Mandalong,151.44998,-33.12684,Coal,NSW,1
Mangoola,150.66999,-32.29684,Coal,NSW,1
Marandoo,118.13856,-22.63810,Iron ore,WA,1
Matilda,120.21490,-26.75750,"Precious metals - Au, Ag",WA,1
Maules Creek,150.15423,-30.54512,Coal,NSW,1
Maxwells  ,122.19890,-31.08090,"Precious metals - Au, Ag",WA,1
Maxwells - Inglewood,143.86800,-36.55200,"Precious metals - Au, Ag",VIC,1
McArthur River,136.09850,-16.43600,"Base metals - Zn, Pb (Cu, Ag)",NT,1
Meekatharra,118.51390,-26.59101,"Precious metals - Au, Ag",WA,1
Merlin,136.34511,-16.84795,Diamond,NT,1
Metropolitan,150.99657,-34.18491,Coal,NSW,1
Middleback Ranges ,137.15600,-32.99800,Iron ore,SA,1
Middlemount,148.63163,-22.84813,Coal,QLD,1
Millennium,148.21300,-22.02500,Coal,QLD,1
Mineral Hill,146.98700,-32.57700,"Base metals - Cu (Zn, Pb, Ag, Au)",,1
Minerva,148.04714,-23.92138,Coal,QLD,1
Mining Area C ,118.96431,-22.92817,Iron ore,WA,1
Moolarben,149.78500,-32.29000,Coal,NSW,1
Moorvale,148.35358,-21.99552,Coal,QLD,1
Moranbah North,147.95674,-21.87133,Coal,QLD,1
Morning Star ,146.24560,-37.56860,"Precious metals - Au, Ag",VIC,1
Mount Arthur,150.85614,-32.33702,Coal,NSW,1
Mount Carbine,145.13188,-16.51830,"Other metals - Sn, W, Ta",QLD,1
Mount Carlton,147.56190,-20.27160,"Base metals - Cu (Zn, Pb, Ag, Au)",QLD,1
Mount Cattlin,120.03800,-33.56241,Lithium,WA,1
Mount Colin,140.04450,-20.77590,"Base metals - Cu (Zn, Pb, Ag, Au)",QLD,1
Mount Garnet,145.11260,-17.68490,"Base metals - Zn, Pb (Cu, Ag)",QLD,1
Mount Gordon,139.36316,-19.69493,"Base metals - Cu (Zn, Pb, Ag, Au)",QLD,1
Mount Isa ,139.47835,-20.74339,"Base metals - Cu (Zn, Pb, Ag, Au)",QLD,1
Mount Keith,120.54174,-27.22960,"Battery/Alloy metals - Ni, Co, Mn, V, Mo",WA,1
Mount Magnet,117.81412,-28.02897,"Precious metals - Au, Ag",WA,1
Mount Margaret,140.78290,-20.44240,"Base metals - Cu, Au, U",QLD,1
Mount Margaret ,117.81412,-28.02897,"Precious metals - Au, Ag",WA,1
Mount Marion,121.46110,-31.07380,Lithium,WA,1
Mount Martin ,121.68250,-31.01280,"Precious metals - Au, Ag",WA,1
Mount Morgans,122.07720,-28.76500,"Precious metals - Au, Ag",WA,1
Mount Newman ,119.67779,-23.35574,Iron ore,WA,1
Mount Owen ,151.09998,-32.38684,Coal,NSW,1
Mount Pleasant ,150.83998,-32.23684,Coal,NSW,1
Mount Rawdon,151.76410,-25.27130,"Precious metals - Au, Ag",QLD,1
Mount Thorley,151.10862,-32.63741,Coal,NSW,1
Mount Tom Price,117.77140,-22.76350,Iron ore,WA,1
Mount Watson,139.88877,-19.77171,"Base metals - Cu (Zn, Pb, Ag, Au)",QLD,1
Mount Webber,119.28900,-21.53700,Iron ore,WA,1
Mount Weld,122.54752,-28.85995,Rare earth elements,WA,1
Mount Wright,146.83200,-20.04040,"Precious metals - Au, Ag",QLD,1
Mountain of Light,138.45128,-30.57893,"Base metals - Cu (Zn, Pb, Ag, Au)",SA,1
Mungari,121.32280,-30.88757,"Precious metals - Au, Ag",WA,1
Murrawombie,146.87190,-31.25860,"Base metals - Cu (Zn, Pb, Ag, Au)",,1
Murrin Murrin,121.89300,-28.76680,"Battery/Alloy metals - Ni, Co, Mn, V, Mo",WA,1
Muswellbrook,150.94139,-32.24499,Coal,NSW,1
Myuna,151.56874,-33.06011,Coal,NSW,1
Nammuldi,117.39530,-22.40687,Iron ore,WA,1
Narrabri,149.85000,-30.52000,Coal,NSW,1
Nevoria,119.58350,-31.50670,"Precious metals - Au, Ag",WA,1
New Acland,151.70783,-27.26963,Coal,QLD,1
New Cobar,145.85510,-31.51610,"Base metals - Cu (Zn, Pb, Ag, Au)",NSW,1
New Occidental,145.86400,-31.54030,"Base metals - Cu (Zn, Pb, Ag, Au)",NSW,1
Newlands,147.90100,-21.25440,Coal,QLD,1
Nicolson's Find,127.35670,-18.40960,"Precious metals - Au, Ag",WA,1
North Goonyella - Eaglefield,147.97662,-21.64755,Coal,,1
North Royal,121.80870,-32.13260,"Precious metals - Au, Ag",WA,1
North Stradbroke Island,153.44350,-27.47679,Heavy mineral sands,QLD,1
Northparkes,148.04980,-32.91350,"Base metals - Cu (Zn, Pb, Ag, Au)",NSW,1
Nova-Bollinger,123.19241,-31.81989,"Battery/Alloy metals - Ni, Co, Mn, V, Mo",WA,1
Nullagine,120.15630,-21.95230,"Precious metals - Au, Ag",WA,1
Oaky Creek,148.49321,-23.04158,Coal,QLD,1
Olympic Dam,136.88929,-30.43744,"Base metals - Cu, Au, U",SA,1
Ora Banda,121.08900,-30.37190,"Precious metals - Au, Ag",WA,1
Orion Downs,148.36100,-24.42500,Coal,QLD,1
Osborne,140.57360,-22.09390,"Base metals - Cu (Zn, Pb, Ag, Au)",QLD,1
Paddington,121.34370,-30.48500,"Precious metals - Au, Ag",WA,1
Pajingo,146.46340,-20.54800,"Precious metals - Au, Ag",QLD,1
Paraburdoo,117.57900,-23.22920,Iron ore,WA,1
Paulsens,116.24260,-22.57940,"Precious metals - Au, Ag",WA,1
Peak Downs ,148.17307,-22.21991,Coal,QLD,1
Peak Mines,145.86913,-31.55394,"Base metals - Zn, Pb (Cu, Ag)",NSW,1
Perseverance,145.88240,-31.57150,"Base metals - Cu (Zn, Pb, Ag, Au)",NSW,1
Perseverance,120.69724,-27.78889,"Battery/Alloy metals - Ni, Co, Mn, V, Mo",WA,1
Phosphate Hill,139.96821,-21.87456,"Fertiliser elements - P,K",QLD,1
Pilgangoora (Altura),118.91968,-20.99241,Lithium,WA,1
Pilgangoora (Pilbara),118.89530,-21.07230,Lithium,WA,1
Plutonic,119.44370,-25.31710,"Precious metals - Au, Ag",WA,1
Poitrel,148.23438,-22.04122,Coal,QLD,1
Porphyry,122.28500,-29.78090,"Precious metals - Au, Ag",WA,1
Premier,116.28651,-33.39173,Coal,WA,1
Prohibition,118.50560,-26.60423,"Precious metals - Au, Ag",WA,1
Prominent Hill,135.57490,-29.72004,"Base metals - Cu (Zn, Pb, Ag, Au)",SA,1
Ranger,132.91846,-12.67354,Uranium,NT,1
Rasp,141.45127,-31.96552,"Base metals - Zn, Pb (Cu, Ag)",NSW,1
Ravenswood,146.87998,-20.09694,"Precious metals - Au, Ag",QLD,1
Ravensworth ,150.99700,-32.44000,Coal,NSW,1
Ravensworth East,151.07167,-32.39554,Coal,NSW,1
Red October,122.41410,-29.21660,"Precious metals - Au, Ag",WA,1
Renison,145.43400,-41.78240,"Other metals - Sn, W, Ta",TAS,1
Revenge,121.74530,-31.28950,"Precious metals - Au, Ag",WA,1
Rixs Creek,151.12998,-32.52684,Coal,NSW,1
Robe River,116.24220,-21.74748,Iron ore,WA,1
Robe Valley,116.47276,-21.70451,Iron ore,WA,1
Rolleston,148.41060,-24.44406,Coal,QLD,1
Roper,134.00000,-14.41667,Heavy Mineral Sands,NT,1
Rose West - Violet,121.26060,-30.53674,"Precious metals - Au, Ag",WA,1
Rosebery,145.54310,-41.77230,"Base metals - Zn, Pb (Cu, Ag)",TAS,1
Rosemont,122.27530,-27.83970,"Precious metals - Au, Ag",WA,1
Roy Hill,120.05777,-22.56219,Iron ore,WA,1
Rumbles,122.18820,-31.06680,"Precious metals - Au, Ag",WA,1
Salt Creek,122.02030,-31.10760,"Precious metals - Au, Ag",WA,1
Sand King,120.96240,-30.21110,"Precious metals - Au, Ag",WA,1
Santa,122.20280,-31.04560,"Precious metals - Au, Ag",WA,1
Saraji,148.29105,-22.36938,Coal,QLD,1
Savage River,145.20443,-41.48798,Iron ore,TAS,1
Savannah,128.02349,-17.34721,"Battery/Alloy metals - Ni, Co, Mn, V, Mo",WA,1
Scuddles,116.94360,-28.74520,"Base metals - Cu (Zn, Pb, Ag, Au)",WA,1
Silvergrass ,117.18516,-22.18330,Iron ore,WA,1
