Deposit Name,Longitude,Latitude,Commodity Group,State
Lake Vermont,148.43851,-22.39900,Coal,QLD
Liddell,150.99988,-32.39160,Coal,NSW
Lorena,140.64870,-20.71870,Precious metals,QLD
Loy Yang,146.56400,-38.23470,Coal,VIC
Maddingley,144.44016,-37.70429,Coal,VIC
Mandalong,151.44998,-33.12684,Coal,NSW
Mangoola,150.66999,-32.29684,Coal,NSW
Marandoo,118.13856,-22.63810,Iron ore,WA
Matilda,120.21490,-26.75750,Precious metals,WA
Maules Creek,150.15423,-30.54512,Coal,NSW
Maxwells  ,122.19890,-31.08090,Precious metals,WA
Maxwells - Inglewood,143.86800,-36.55200,Precious metals,VIC
McArthur River,136.09850,-16.43600,Base metal,NT
Meekatharra,118.51390,-26.59101,Precious metals,WA
Merlin,136.34511,-16.84795,Diamond,NT
Metropolitan,150.99657,-34.18491,Coal,NSW
Middleback Ranges ,137.15600,-32.99800,Iron ore,SA
Middlemount,148.63163,-22.84813,Coal,QLD
Millennium,148.21300,-22.02500,Coal,QLD
Mineral Hill,146.98700,-32.57700,Base metal,
Minerva,148.04714,-23.92138,Coal,QLD
Mining Area C ,118.96431,-22.92817,Iron ore,WA
Moolarben,149.78500,-32.29000,Coal,NSW
Moorvale,148.35358,-21.99552,Coal,QLD
Moranbah North,147.95674,-21.87133,Coal,QLD
Morning Star ,146.24560,-37.56860,Precious metals,VIC
Mount Arthur,150.85614,-32.33702,Coal,NSW
Mount Carbine,145.13188,-16.51830,Other metals ,QLD
Mount Carlton,147.56190,-20.27160,Base metal,QLD
Mount Cattlin,120.03800,-33.56241,Lithium,WA
Mount Colin,140.04450,-20.77590,Base metal,QLD
Mount Garnet,145.11260,-17.68490,Base metal,QLD
Mount Gordon,139.36316,-19.69493,Base metal,QLD
Mount Isa ,139.47835,-20.74339,Base metal,QLD
Mount Keith,120.54174,-27.22960,Battery/Alloy metals,WA
Mount Magnet,117.81412,-28.02897,Precious metals,WA
Mount Margaret,140.78290,-20.44240,Base metal,QLD
Mount Margaret ,117.81412,-28.02897,Precious metals,WA
Mount Marion,121.46110,-31.07380,Lithium,WA
Mount Martin ,121.68250,-31.01280,Precious metals,WA
Mount Morgans,122.07720,-28.76500,Precious metals,WA
Mount Newman ,119.67779,-23.35574,Iron ore,WA
Mount Owen ,151.09998,-32.38684,Coal,NSW
Mount Pleasant ,150.83998,-32.23684,Coal,NSW
Mount Rawdon,151.76410,-25.27130,Precious metals,QLD
Mount Thorley,151.10862,-32.63741,Coal,NSW
Mount Tom Price,117.77140,-22.76350,Iron ore,WA
Mount Watson,139.88877,-19.77171,Base metal,QLD
Mount Webber,119.28900,-21.53700,Iron ore,WA
Mount Weld,122.54752,-28.85995,Rare earth elements,WA
Mount Wright,146.83200,-20.04040,Precious metals,QLD
Mountain of Light,138.45128,-30.57893,Base metal,SA
Mungari,121.32280,-30.88757,Precious metals,WA
Murrawombie,146.87190,-31.25860,Base metal,
Murrin Murrin,121.89300,-28.76680,Battery/Alloy metals,WA
Muswellbrook,150.94139,-32.24499,Coal,NSW
Myuna,151.56874,-33.06011,Coal,NSW
Nammuldi,117.39530,-22.40687,Iron ore,WA
Narrabri,149.85000,-30.52000,Coal,NSW
Nevoria,119.58350,-31.50670,Precious metals,WA
New Acland,151.70783,-27.26963,Coal,QLD
New Cobar,145.85510,-31.51610,Base metal,NSW
New Occidental,145.86400,-31.54030,Base metal,NSW
Newlands,147.90100,-21.25440,Coal,QLD
Nicolson's Find,127.35670,-18.40960,Precious metals,WA
North Goonyella - Eaglefield,147.97662,-21.64755,Coal,
North Royal,121.80870,-32.13260,Precious metals,WA
North Stradbroke Island,153.44350,-27.47679,Heavy mineral sands,QLD
Northparkes,148.04980,-32.91350,Base metal,NSW
Nova-Bollinger,123.19241,-31.81989,Battery/Alloy metals,WA
Nullagine,120.15630,-21.95230,Precious metals,WA
Oaky Creek,148.49321,-23.04158,Coal,QLD
Olympic Dam,136.88929,-30.43744,Base metal,SA
Ora Banda,121.08900,-30.37190,Precious metals,WA
Orion Downs,148.36100,-24.42500,Coal,QLD
Osborne,140.57360,-22.09390,Base metal,QLD
Paddington,121.34370,-30.48500,Precious metals,WA
Pajingo,146.46340,-20.54800,Precious metals,QLD
Paraburdoo,117.57900,-23.22920,Iron ore,WA
Paulsens,116.24260,-22.57940,Precious metals,WA
Peak Downs ,148.17307,-22.21991,Coal,QLD
Peak Mines,145.86913,-31.55394,Base metal,NSW
Perseverance,145.88240,-31.57150,Base metal,NSW
Perseverance,120.69724,-27.78889,Battery/Alloy metals,WA
Phosphate Hill,139.96821,-21.87456,Fertiliser elements,QLD
Pilgangoora (Altura),118.91968,-20.99241,Lithium,WA
Pilgangoora (Pilbara),118.89530,-21.07230,Lithium,WA
Plutonic,119.44370,-25.31710,Precious metals,WA
Poitrel,148.23438,-22.04122,Coal,QLD
Porphyry,122.28500,-29.78090,Precious metals,WA
Premier,116.28651,-33.39173,Coal,WA
Prohibition,118.50560,-26.60423,Precious metals,WA
Prominent Hill,135.57490,-29.72004,Base metal,SA
Ranger,132.91846,-12.67354,Uranium,NT
Rasp,141.45127,-31.96552,Base metal,NSW
Ravenswood,146.87998,-20.09694,Precious metals,QLD
Ravensworth ,150.99700,-32.44000,Coal,NSW
Ravensworth East,151.07167,-32.39554,Coal,NSW
Red October,122.41410,-29.21660,Precious metals,WA
Renison,145.43400,-41.78240,Other metals ,TAS
Revenge,121.74530,-31.28950,Precious metals,WA
Rixs Creek,151.12998,-32.52684,Coal,NSW
Robe River,116.24220,-21.74748,Iron ore,WA
Robe Valley,116.47276,-21.70451,Iron ore,WA
Rolleston,148.41060,-24.44406,Coal,QLD
Roper,134.00000,-14.41667,Heavy mineral sands,NT
Rose West - Violet,121.26060,-30.53674,Precious metals,WA
Rosebery,145.54310,-41.77230,Base metal,TAS
Rosemont,122.27530,-27.83970,Precious metals,WA
Roy Hill,120.05777,-22.56219,Iron ore,WA
Rumbles,122.18820,-31.06680,Precious metals,WA
Salt Creek,122.02030,-31.10760,Precious metals,WA
Sand King,120.96240,-30.21110,Precious metals,WA
Santa,122.20280,-31.04560,Precious metals,WA
Saraji,148.29105,-22.36938,Coal,QLD
Savage River,145.20443,-41.48798,Iron ore,TAS
Savannah,128.02349,-17.34721,Battery/Alloy metals,WA
Scuddles,116.94360,-28.74520,Base metal,WA
Silvergrass ,117.18516,-22.18330,Iron ore,WA
Snapper,142.12539,-33.41521,Heavy mineral sands,NSW
Sonoma,147.86000,-20.62000,Coal,QLD
South Kalgoorlie,121.61480,-31.03850,Precious metals,WA
South Walker Creek,148.44271,-21.77094,Coal,QLD
Southern Cross,119.50270,-31.46600,Precious metals,WA
Spotted Quoll,119.67780,-32.47818,Battery/Alloy metals,WA
Springvale,150.10563,-33.40060,Coal,NSW
St Ives,121.74510,-31.32430,Precious metals,WA
Stratford,151.97360,-32.11766,Coal,NSW
Sunrise Dam,122.42450,-29.07750,Precious metals,WA
Tahmoor,150.57950,-34.25080,Coal,NSW
Tanami - Newmont,129.93360,-20.52560,Precious metals,NT
Tarong ,151.91152,-26.81354,Coal,QLD
Tarrawonga,150.16300,-30.63800,Coal,NSW
Telfer,122.21090,-21.72240,Base metal,WA
Thalanga,145.76990,-20.34190,Base metal,QLD
The Peak,145.87780,-31.56530,Base metal,NSW
Thunderbox,121.00540,-28.19200,Precious metals,WA
Tomingley,148.20670,-32.58480,Precious metals,NSW
Transvaal,122.07660,-28.74950,Precious metals,WA
Tritton,146.72160,-31.39560,Base metal,NSW
Tropicana,124.55000,-29.26000,Precious metals,WA
Ulan,149.74998,-32.24686,Coal,NSW
Union Reefs,131.79050,-13.71400,Precious metals,NT
Vine,121.71990,-31.75610,Precious metals,WA
Central Murchison,118.50780,-26.60540,Precious metals,WA
Vivien,120.56950,-27.97510,Precious metals,WA
WAIO,118.57008,-20.30862,Iron ore,WA
Walhalla ,120.65020,-30.15020,Precious metals,WA
Wallaby,122.30550,-28.85180,Precious metals,WA
Wallbrook,122.31030,-29.85810,Precious metals,WA
Wambo,150.99808,-32.57815,Coal,NSW
Warkworth,151.09016,-32.60701,Coal,NSW
Waroonga,120.50460,-27.00780,Precious metals,WA
Wattle Bird,121.05090,-30.51980,Precious metals,WA
Weipa,141.87320,-12.66370,Bauxite,QLD
Werris Creek,150.63950,-31.40698,Coal,NSW
West Angelas,118.78829,-23.18855,Iron ore,WA
Western Turner Syncline,117.58630,-22.66220,Iron ore,WA
Whangamata,118.44250,-26.66240,Precious metals,WA
Whim Creek,117.83058,-20.84373,Base metal,WA
Whirling Dervish,122.35880,-30.14340,Precious metals,WA
White Dam,140.57930,-32.09550,Precious metals,SA
White Foil,121.25060,-30.77380,Precious metals,WA
Widgiemooltha,121.56400,-31.49467,Precious metals,WA
Willowdale,116.06182,-32.84510,Bauxite,WA
Wilpinjong,149.88500,-32.33200,Coal,NSW
Wollombi,147.90100,-21.25440,Coal,QLD
Wombola,121.83170,-30.99870,Precious metals,WA
Wonnerup ,115.45060,-33.65378,Heavy mineral sands,WA
Woodie Woodie,121.23547,-21.63877,Battery/Alloy metals,WA
Woodlawn,149.57168,-35.06132,Base metal,NSW
Worsley,116.45591,-32.92921,Bauxite,WA
Yallourn,146.36040,-38.19506,Coal,VIC
Yandi,119.10333,-22.73484,Iron ore,WA
Yandicoogina,119.21246,-22.76369,Iron ore,WA
Yarrabee,149.02637,-23.31768,Coal,QLD
Zoroastrian,121.28600,-30.33510,Precious metals,WA
